Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:54:45970400,310.7504,302.4544,301.9664,296.94,448.691515,1361.15,acq500
26/10/2022 16:54:46969800,310.6528,302.3568,301.942,296.9156,448.691515,1361.15,acq500
26/10/2022 16:54:47968200,310.7016,302.2836,302.0152,296.8912,448.691515,1362.15,acq500
26/10/2022 16:54:48966600,310.726,302.4056,301.9908,296.9156,449.617235,1362.15,acq500
26/10/2022 16:54:49980600,310.848,302.3568,301.8688,296.94,446.840075,1362.15,acq500
26/10/2022 16:54:50979000,310.8236,302.2836,301.8444,296.94,448.691515,1364.15,acq500
26/10/2022 16:54:51977400,310.7748,302.2836,301.942,296.94,448.691515,1362.15,acq500
26/10/2022 16:54:52975800,310.726,302.1616,301.8444,296.9156,448.691515,1364.15,acq500
26/10/2022 16:54:53974200,310.7504,302.3324,301.8932,296.94,450.542955,1364.15,acq500
26/10/2022 16:54:54972600,310.726,302.3812,301.9664,296.8424,444.988635,1361.15,acq500
26/10/2022 16:54:55971000,310.726,302.3324,301.9664,296.94,446.840075,1360.15,acq500
26/10/2022 16:54:56969400,310.848,302.2348,301.9664,296.8912,444.062915,1356.15,acq500
26/10/2022 16:54:57967800,310.848,302.3324,301.9664,296.9156,448.691515,1359.15,acq500
26/10/2022 16:54:58966200,310.726,302.3324,301.9664,296.9156,444.988635,1359.15,acq500
26/10/2022 16:54:59981200,310.848,302.3324,301.8688,296.7936,448.691515,1361.15,acq500
26/10/2022 16:55:00964000,310.848,302.3812,301.8444,296.8424,449.617235,1361.15,acq500
26/10/2022 16:55:01978000,310.8236,302.3568,301.8444,296.9156,449.617235,1361.15,acq500
26/10/2022 16:55:02976400,310.7504,302.3568,301.8444,296.94,449.617235,1364.15,acq500
26/10/2022 16:55:03974800,310.726,302.3568,301.9664,296.94,449.617235,1364.15,acq500
26/10/2022 16:55:09965200,310.7016,301.7956,302.2348,296.8424,509.789035,1361.15,acq500
26/10/2022 16:55:10979200,310.848,301.7956,302.4788,296.818,511.640475,1360.15,acq500
26/10/2022 16:55:11977600,310.848,301.8688,302.6008,296.8912,514.417635,1361.15,acq500
26/10/2022 16:55:12976000,310.8236,301.9176,302.6984,296.818,513.491915,1362.15,acq500
26/10/2022 16:55:18966400,310.848,302.3324,302.918,296.94,520.897675,1362.15,acq500
26/10/2022 16:55:24972400,310.8236,302.6496,303.0156,296.8912,520.897675,1360.15,acq500
26/10/2022 16:55:25986400,310.8236,302.6984,303.04,296.9156,520.897675,1360.15,acq500
26/10/2022 16:55:31976800,310.8724,302.5032,303.04,296.818,523.674835,1354.15,acq500
