Data,T1,T2,T3,T4,F1,F2,Amostra
27/10/2022 20:20:05540200,38.991200000,32.940000000,35.941200000,22.618800000,242.193355000,335.000000000,1000V9
27/10/2022 20:20:06523000,39.113200000,32.988800000,35.868000000,22.618800000,242.193355000,336.000000000,1000V9
27/10/2022 20:20:07521400,39.040000000,32.988800000,35.941200000,22.570000000,243.119075000,335.000000000,1000V9
27/10/2022 20:20:13745800,39.040000000,33.110800000,35.990000000,22.594400000,244.970515000,332.000000000,1000V9
27/10/2022 20:20:14681800,38.991200000,33.110800000,35.941200000,22.594400000,246.821955000,334.000000000,1000V9
27/10/2022 20:20:15664600,39.015600000,33.110800000,35.990000000,22.594400000,244.970515000,334.000000000,1000V9
27/10/2022 20:20:16678600,39.040000000,33.062000000,35.916800000,22.570000000,244.970515000,336.000000000,1000V9
27/10/2022 20:20:17661400,39.015600000,33.208400000,35.990000000,22.521200000,243.119075000,331.000000000,1000V9
27/10/2022 20:20:18675400,38.991200000,33.281600000,35.941200000,22.618800000,243.119075000,331.000000000,1000V9
27/10/2022 20:20:19673800,39.015600000,33.232800000,35.990000000,22.618800000,243.119075000,332.000000000,1000V9
27/10/2022 20:20:20672200,39.015600000,33.110800000,35.941200000,22.643200000,243.119075000,335.000000000,1000V9
27/10/2022 20:20:21670600,39.015600000,32.988800000,35.941200000,22.618800000,245.896235000,334.000000000,1000V9
27/10/2022 20:20:22669000,39.015600000,32.988800000,35.941200000,22.618800000,244.970515000,335.000000000,1000V9
27/10/2022 20:20:29033800,39.040000000,33.062000000,35.990000000,22.618800000,246.821955000,335.000000000,1000V9
27/10/2022 20:20:30063400,39.040000000,33.135200000,35.990000000,22.594400000,245.896235000,336.000000000,1000V9
27/10/2022 20:20:31077400,39.015600000,33.037600000,35.990000000,22.618800000,245.896235000,335.000000000,1000V9
27/10/2022 20:20:32091400,39.015600000,33.110800000,35.990000000,22.643200000,246.821955000,336.000000000,1000V9
27/10/2022 20:20:33074200,39.015600000,33.135200000,35.990000000,22.570000000,247.747675000,335.000000000,1000V9
27/10/2022 20:20:34088200,38.991200000,33.232800000,35.990000000,22.594400000,246.821955000,335.000000000,1000V9
27/10/2022 20:20:35071000,38.966800000,33.281600000,35.990000000,22.618800000,247.747675000,336.000000000,1000V9
27/10/2022 20:20:36069400,38.991200000,33.208400000,36.014400000,22.570000000,246.821955000,336.000000000,1000V9
27/10/2022 20:20:37067800,38.991200000,33.208400000,35.990000000,22.594400000,244.970515000,336.000000000,1000V9
27/10/2022 20:20:38066200,39.040000000,33.208400000,36.014400000,22.618800000,246.821955000,337.000000000,1000V9
27/10/2022 20:20:39064600,39.040000000,33.208400000,36.014400000,22.618800000,245.896235000,335.000000000,1000V9
27/10/2022 20:20:40078600,38.966800000,33.110800000,35.941200000,22.692000000,247.747675000,334.000000000,1000V9
27/10/2022 20:20:41061400,38.991200000,33.135200000,35.990000000,22.594400000,247.747675000,336.000000000,1000V9
27/10/2022 20:20:42075400,39.015600000,33.257200000,35.941200000,22.496800000,246.821955000,335.000000000,1000V9
27/10/2022 20:20:43073800,39.040000000,33.110800000,35.990000000,22.594400000,245.896235000,337.000000000,1000V9
27/10/2022 20:20:44072200,39.040000000,32.940000000,35.990000000,22.618800000,247.747675000,335.000000000,1000V9
27/10/2022 20:20:45055000,39.040000000,32.940000000,36.014400000,22.594400000,246.821955000,335.000000000,1000V9
27/10/2022 20:20:46069000,39.040000000,33.110800000,36.014400000,22.618800000,245.896235000,335.000000000,1000V9
